"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.6441,0.10793,0.2606,9.6434,0.10875,0.2597,5.2105,1,1.2042,11.884,12.25,6.845
9.6425,0.10858,0.26185,9.6417,0.10941,0.26095,5.2265,1,1.2142,11.894,12.25,6.845
9.6408,0.10922,0.26311,9.6401,0.11007,0.26219,5.2425,1,1.2243,11.904,12.25,6.845
9.6392,0.10987,0.26437,9.6385,0.11073,0.26344,5.2586,1,1.2343,11.914,12.25,6.845
9.6376,0.11051,0.26562,9.6368,0.11139,0.26468,5.2746,1,1.2443,11.924,12.25,6.845
9.636,0.11116,0.26688,9.6352,0.11206,0.26592,5.2906,1,1.2544,11.934,12.25,6.845
9.6344,0.1118,0.26814,9.6336,0.11272,0.26717,5.3066,1,1.2644,11.944,12.25,6.845
9.6328,0.11245,0.26939,9.6319,0.11338,0.26841,5.3227,1,1.2744,11.954,12.25,6.845
9.6311,0.11309,0.27065,9.6303,0.11404,0.26966,5.3387,1,1.2845,11.964,12.25,6.845
9.6295,0.11374,0.27191,9.6287,0.1147,0.2709,5.3547,1,1.2945,11.975,12.25,6.845
9.6279,0.11438,0.27316,9.627,0.11536,0.27215,5.3707,1,1.3046,11.985,12.25,6.845
9.6263,0.11503,0.27442,9.6254,0.11602,0.27339,5.3868,1,1.3146,11.995,12.25,6.845
9.6247,0.11567,0.27568,9.6238,0.11668,0.27464,5.4028,1,1.3246,12.005,12.25,6.845
9.6231,0.11632,0.27693,9.6221,0.11734,0.27588,5.4188,1,1.3347,12.015,12.25,6.845
9.6214,0.11696,0.27819,9.6205,0.118,0.27712,5.4348,1,1.3447,12.025,12.25,6.845
9.6198,0.11753,0.27946,9.6188,0.11858,0.27839,5.451,1,1.3547,12.035,12.25,6.845
9.618,0.11818,0.28082,9.6171,0.11925,0.27973,5.4682,1,1.3648,12.045,12.25,6.845
9.6163,0.1189,0.28223,9.6153,0.11999,0.28112,5.4861,1,1.3748,12.055,12.25,6.845
9.6145,0.11962,0.28363,9.6135,0.12074,0.28252,5.504,1,1.3848,12.065,12.25,6.845
9.6127,0.12034,0.28504,9.6117,0.12148,0.28391,5.5218,1,1.3949,12.075,12.25,6.845
9.611,0.12106,0.28645,9.6099,0.12222,0.2853,5.5397,1,1.4049,12.085,12.25,6.845
9.6092,0.12178,0.28786,9.6081,0.12296,0.28669,5.5576,1,1.4149,12.095,12.25,6.845
9.6074,0.1225,0.28926,9.6063,0.1237,0.28808,5.5755,1,1.425,12.105,12.25,6.845
9.6056,0.12322,0.29067,9.6045,0.12445,0.28948,5.5934,1,1.435,12.115,12.25,6.845
9.6039,0.12395,0.29208,9.6027,0.12519,0.29087,5.6113,1,1.445,12.125,12.25,6.845
9.6021,0.12467,0.29349,9.6009,0.12593,0.29226,5.6292,1,1.4551,12.135,12.25,6.845
9.6003,0.12539,0.29489,9.5991,0.12667,0.29365,5.6471,1,1.4651,12.145,12.25,6.845
9.5986,0.12611,0.2963,9.5973,0.12741,0.29505,5.665,1,1.4751,12.155,12.25,6.845
9.5968,0.12683,0.29771,9.5956,0.12815,0.29644,5.6829,1,1.4852,12.165,12.25,6.845
9.595,0.12755,0.29912,9.5938,0.1289,0.29783,5.7007,1,1.4952,12.175,12.25,6.845
9.5933,0.12827,0.30052,9.592,0.12964,0.29922,5.7186,1,1.5052,12.185,12.25,6.845
9.5915,0.12899,0.30193,9.5902,0.13038,0.30061,5.7365,1,1.5153,12.195,12.25,6.845
9.5896,0.1296,0.30337,9.5883,0.13101,0.30204,5.7545,1,1.5253,12.205,12.25,6.845
9.5877,0.13037,0.30492,9.5863,0.1318,0.30357,5.7742,1,1.5354,12.215,12.25,6.845
9.5858,0.13118,0.30651,9.5844,0.13264,0.30514,5.7943,1,1.5454,12.225,12.25,6.845
9.5838,0.13198,0.30809,9.5824,0.13348,0.30671,5.8144,1,1.5554,12.235,12.25,6.845
9.5819,0.13279,0.30968,9.5804,0.13432,0.30827,5.8345,1,1.5655,12.245,12.25,6.845
9.5799,0.1336,0.31127,9.5785,0.13515,0.30984,5.8546,1,1.5755,12.255,12.25,6.845
9.578,0.13441,0.31286,9.5765,0.13599,0.31141,5.8747,1,1.5855,12.266,12.25,6.845
9.576,0.13522,0.31444,9.5745,0.13683,0.31298,5.8948,1,1.5956,12.276,12.25,6.845
9.5741,0.13603,0.31603,9.5725,0.13767,0.31455,5.9149,1,1.6056,12.286,12.25,6.845
