"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.3445,-0.0036814,0.46621,9.4153,3.3959e-06,0.41293,1,2.007,9.687,11.25,6.845
9.3095,-0.0045006,0.49233,9.3827,-3.0336e-05,0.4372,1,2.1073,9.7873,11.25,6.845
9.2726,-0.0054522,0.52005,9.3482,-6.9992e-05,0.46303,1,2.2077,9.8877,11.25,6.845
9.2333,-0.0066269,0.5499,9.3111,-0.0001187,0.49091,1,2.3081,9.9881,11.25,6.845
9.1911,-0.008063,0.58222,9.271,-0.000178,0.52122,1,2.4084,10.088,11.25,6.845
9.1463,-0.0098055,0.61683,9.2279,-0.00024814,0.55379,1,2.5088,10.189,11.25,6.845
9.0982,-0.011924,0.65427,9.1812,-0.0003316,0.58915,1,2.6091,10.289,11.25,6.845
9.0464,-0.014567,0.69488,9.1302,-0.00043044,0.62767,1,2.7095,10.389,11.25,6.845
8.9918,-0.017622,0.73797,9.0757,-0.00054134,0.66868,1,2.8098,10.49,11.25,6.845
8.9313,-0.021654,0.78591,9.0138,-0.00067432,0.71463,1,2.9102,10.59,11.25,6.845
8.8683,-0.026144,0.83595,8.9485,-0.00081619,0.76276,1,3.0105,10.691,11.25,6.845
8.7983,-0.032006,0.89174,8.8733,-0.00097892,0.81691,1,3.1108,10.791,11.25,6.845
8.7234,-0.038901,0.95134,8.7904,-0.001149,0.87521,1,3.2112,10.891,11.25,6.845
8.6437,-0.046784,1.0146,8.6997,-0.0013249,0.93748,1,3.3116,10.992,11.25,6.845
8.5544,-0.056409,1.0839,8.5923,-0.001501,1.0068,1,3.4119,11.092,11.25,6.845
8.4633,-0.067064,1.1533,8.4771,-0.0016705,1.077,1,3.5123,11.192,11.25,6.845
8.3636,-0.078778,1.2285,8.3431,-0.0018707,1.1543,1,3.6126,11.293,11.25,6.845
8.2512,-0.089953,1.3133,8.1792,-0.0021427,1.2437,1,3.713,11.393,11.25,6.845
8.1338,-0.096793,1.4007,7.9921,-0.0024144,1.3386,1,3.8133,11.493,11.25,6.845
8.0071,-0.095014,1.4874,7.7654,-0.0024126,1.4368,1,3.9137,11.594,11.25,6.845
7.8671,-0.074191,1.569,7.5402,-0.00057253,1.536,1,4.014,11.694,11.25,6.845
7.7136,-0.014872,1.6388,7.3516,0.0161,1.6281,1,4.1143,11.794,11.25,6.845
7.5067,0.098871,1.6848,6.9285,0.076223,1.6829,1,4.2147,11.895,11.25,6.845
