U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
19.118,19.177,19.083,19.126,0.802905,,,,12.296,11.25,6.845
19.133,19.204,19.089,19.142,0.803576676,,,,12.396,11.25,6.845
19.215,19.336,19.163,19.238,0.807606734,,,,12.497,11.25,6.845
19.381,19.526,19.333,19.41333333,0.814967186,,,,12.597,11.25,6.845
19.492,19.609,19.479,19.52666667,0.819724893,,,,12.698,11.25,6.845
19.471,19.556,19.499,19.50866667,0.818969257,,,,12.798,11.25,6.845
19.383,19.451,19.439,19.42433333,0.815428963,,,,12.898,11.25,6.845
19.288,19.346,19.355,19.32966667,0.811454879,,,,12.999,11.25,6.845
19.204,19.26,19.269,19.24433333,0.807872605,,,,13.099,11.25,6.845
19.139,19.198,19.196,19.17766667,0.805073954,,,,13.199,11.25,6.845
19.1,19.163,19.145,19.136,0.803324797,,,,13.3,11.25,6.845
19.079,19.144,19.113,19.112,0.802317283,,,,13.4,11.25,6.845
19.066,19.131,19.09,19.09566667,0.801631614,,,,13.5,11.25,6.845
19.056,19.119,19.075,19.08333333,0.801113863,,,,13.601,11.25,6.845
19.045,19.103,19.061,19.06966667,0.80054014,,,,13.701,11.25,6.845
19.027,19.08,19.043,19.05,0.799714538,,,,13.801,11.25,6.845
19.005,19.053,19.022,19.02666667,0.79873501,,,,13.902,11.25,6.845
18.981,19.023,18.998,19.00066667,0.797643536,,,,14.002,11.25,6.845
18.954,18.993,18.972,18.973,0.796482096,,,,14.102,11.25,6.845
18.927,18.963,18.945,18.945,0.795306662,,,,14.203,11.25,6.845
18.902,18.936,18.919,18.919,0.794215188,,,,14.303,11.25,6.845
18.88,18.912,18.895,18.89566667,0.79323566,,,,14.403,11.25,6.845
18.859,18.89,18.873,18.874,0.792326099,,,,14.504,11.25,6.845
18.84,18.87,18.852,18.854,0.791486504,,,,14.604,11.25,6.845
18.824,18.852,18.834,18.83666667,0.790758854,,,,14.705,11.25,6.845
18.808,18.836,18.817,18.82033333,0.790073185,,,,14.805,11.25,6.845
18.793,18.819,18.801,18.80433333,0.789401508,,,,14.905,11.25,6.845
18.779,18.804,18.786,18.78966667,0.788785805,,,,15.006,11.25,6.845
18.766,18.79,18.772,18.776,0.788212082,,,,15.106,11.25,6.845
18.753,18.776,18.758,18.76233333,0.787638358,,,,15.206,11.25,6.845
18.741,18.763,18.745,18.74966667,0.787106615,,,,15.307,11.25,6.845
18.729,18.751,18.733,18.73766667,0.786602857,,,,15.407,11.25,6.845
18.718,18.739,18.721,18.726,0.786113093,,,,15.507,11.25,6.845
18.708,18.729,18.71,18.71566667,0.785679303,,,,15.608,11.25,6.845
18.699,18.719,18.699,18.70566667,0.785259505,,,,15.708,11.25,6.845
18.69,18.709,18.69,18.69633333,0.784867694,,,,15.808,11.25,6.845
18.681,18.7,18.68,18.687,0.784475883,,,,15.909,11.25,6.845
18.673,18.692,18.672,18.679,0.784140044,,,,16.009,11.25,6.845
18.666,18.684,18.663,18.671,0.783804206,,,,16.109,11.25,6.845
18.658,18.677,18.655,18.66333333,0.783482362,,,,16.21,11.25,6.845
18.651,18.67,18.647,18.656,0.78317451,,,,16.31,11.25,6.845
18.644,18.663,18.64,18.649,0.782880652,,,,16.41,11.25,6.845
18.638,18.657,18.633,18.64266667,0.78261478,,,,16.511,11.25,6.845
18.631,18.651,18.626,18.636,0.782334915,,,,16.611,11.25,6.845
18.625,18.645,18.619,18.62966667,0.782069043,,,,16.712,11.25,6.845
18.619,18.639,18.612,18.62333333,0.781803171,,,,16.812,11.25,6.845
18.613,18.634,18.606,18.61766667,0.781565286,,,,16.912,11.25,6.845
18.608,18.629,18.6,18.61233333,0.781341393,,,,17.013,11.25,6.845
18.602,18.624,18.594,18.60666667,0.781103508,,,,17.113,11.25,6.845
18.596,18.619,18.588,18.601,0.780865623,,,,17.213,11.25,6.845
18.591,18.614,18.582,18.59566667,0.780641731,,,,17.314,11.25,6.845
18.586,18.61,18.576,18.59066667,0.780431832,,,,17.414,11.25,6.845
18.581,18.606,18.571,18.586,0.780235926,,,,17.514,11.25,6.845
18.575,18.601,18.565,18.58033333,0.779998041,,,,17.615,11.25,6.845
18.57,18.597,18.56,18.57566667,0.779802135,,,,17.715,11.25,6.845
