U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
13.266,0.895564707,-0.065761,-0.49493,1,3.2112,13.891,11.25,3.155
13.218,0.89232431,-0.074867,-0.54175,1,3.3116,13.992,11.25,3.155
13.162,0.888543847,-0.08586,-0.59454,1,3.4119,14.092,11.25,3.155
13.1,0.884358334,-0.098216,-0.65139,1,3.5122,14.192,11.25,3.155
13.033,0.87983528,-0.11196,-0.7123,1,3.6126,14.293,11.25,3.155
12.955,0.874569635,-0.12823,-0.7802,1,3.7129,14.393,11.25,3.155
12.861,0.868223857,-0.14678,-0.85414,1,3.8133,14.493,11.25,3.155
12.758,0.861270506,-0.1679,-0.93323,1,3.9136,14.594,11.25,3.155
12.65,0.853979613,-0.19538,-1.0219,1,4.014,14.694,11.25,3.155
12.515,0.844865996,-0.23307,-1.1162,1,4.1143,14.794,11.25,3.155
12.355,0.834064673,-0.27211,-1.2082,1,4.2147,14.895,11.25,3.155
12.128,0.818740296,-0.29133,-1.2725,1,4.3151,14.995,11.25,3.155
11.905,0.803685952,-0.26677,-1.2795,1,4.4154,15.095,11.25,3.155
11.686,0.78890164,-0.21238,-1.2458,1,4.5157,15.196,11.25,3.155
11.505,0.776682644,-0.13519,-1.1184,1,4.6161,15.296,11.25,3.155
11.334,0.765138729,-0.084114,-0.98047,1,4.7164,15.396,11.25,3.155
11.175,0.754404915,-0.06816,-0.82824,1,4.8168,15.497,11.25,3.155
11.06,0.746641464,-0.10135,-0.70525,1,4.9171,15.597,11.25,3.155
10.966,0.740295686,-0.1477,-0.59667,1,5.0175,15.698,11.25,3.155
10.924,0.737460339,-0.20046,-0.52716,1,5.1178,15.798,11.25,3.155
10.891,0.735232566,-0.2421,-0.47153,1,5.2182,15.898,11.25,3.155
10.867,0.733612368,-0.27192,-0.43066,1,5.3186,15.999,11.25,3.155
10.836,0.731519611,-0.28596,-0.39844,1,5.4189,16.099,11.25,3.155
10.802,0.72922433,-0.29527,-0.36871,1,5.5192,16.199,11.25,3.155
10.764,0.726659016,-0.29774,-0.34111,1,5.6196,16.3,11.25,3.155
10.728,0.724228718,-0.30038,-0.31378,1,5.7199,16.4,11.25,3.155
10.695,0.722000945,-0.3034,-0.28705,1,5.8203,16.5,11.25,3.155
10.666,0.720043205,-0.3074,-0.26161,1,5.9207,16.601,11.25,3.155
10.641,0.718355499,-0.31224,-0.23728,1,6.021,16.701,11.25,3.155
10.622,0.717072841,-0.31718,-0.21562,1,6.1213,16.801,11.25,3.155
10.604,0.715857693,-0.32216,-0.19493,1,6.2217,16.902,11.25,3.155
10.591,0.714980085,-0.326,-0.17756,1,6.3221,17.002,11.25,3.155
10.578,0.714102478,-0.32967,-0.16068,1,6.4224,17.102,11.25,3.155
10.568,0.713427395,-0.332,-0.1467,1,6.5227,17.203,11.25,3.155
10.559,0.71281982,-0.3342,-0.13309,1,6.6231,17.303,11.25,3.155
10.551,0.712279754,-0.33568,-0.12144,1,6.7234,17.403,11.25,3.155
10.544,0.711807196,-0.33706,-0.11024,1,6.8238,17.504,11.25,3.155
10.537,0.711334638,-0.33817,-0.10042,1,6.9242,17.604,11.25,3.155
10.531,0.710929589,-0.33925,-0.091059,1,7.0245,17.705,11.25,3.155
10.525,0.710524539,-0.34025,-0.082757,1,7.1248,17.805,11.25,3.155
10.519,0.71011949,-0.34123,-0.074881,1,7.2252,17.905,11.25,3.155
10.513,0.70971444,-0.3422,-0.067878,1,7.3256,18.006,11.25,3.155
10.508,0.709376899,-0.34316,-0.061236,1,7.4259,18.106,11.25,3.155
10.503,0.709039357,-0.34411,-0.055341,1,7.5262,18.206,11.25,3.155
10.498,0.708701816,-0.34507,-0.049716,1,7.6266,18.307,11.25,3.155
10.493,0.708364275,-0.34603,-0.044746,1,7.7269,18.407,11.25,3.155
10.489,0.708094242,-0.347,-0.039948,1,7.8273,18.507,11.25,3.155
10.485,0.707824208,-0.34798,-0.035738,1,7.9277,18.608,11.25,3.155
10.481,0.707554175,-0.34896,-0.031608,1,8.028,18.708,11.25,3.155
10.478,0.707351651,-0.34996,-0.028019,1,8.1283,18.808,11.25,3.155
10.475,0.707149126,-0.35096,-0.024432,1,8.2287,18.909,11.25,3.155
10.473,0.707014109,-0.35194,-0.021349,1,8.3291,19.009,11.25,3.155
10.471,0.706879093,-0.35292,-0.018267,1,8.4294,19.109,11.25,3.155
10.47,0.706811584,-0.35382,-0.015534,1,8.5297,19.21,11.25,3.155
10.469,0.706744076,-0.35472,-0.012866,1,8.6301,19.31,11.25,3.155
10.469,0.706744076,-0.35552,-0.010424,1,8.7304,19.41,11.25,3.155
10.469,0.706744076,-0.35628,-0.0081043,1,8.8308,19.511,11.25,3.155
10.47,0.706811584,-0.35695,-0.0059132,1,8.9312,19.611,11.25,3.155
10.472,0.706946601,-0.35753,-0.0038968,1,9.0315,19.712,11.25,3.155
10.473,0.707014109,-0.35807,-0.0019252,1,9.1318,19.812,11.25,3.155
10.476,0.707216634,-0.35845,-0.00018112,1,9.2322,19.912,11.25,3.155
10.478,0.707351651,-0.35883,0.001563,1,9.3326,20.013,11.25,3.155
10.481,0.707554175,-0.35906,0.0030901,1,9.4329,20.113,11.25,3.155
10.485,0.707824208,-0.35927,0.004585,1,9.5332,20.213,11.25,3.155
10.488,0.708026733,-0.3594,0.0059539,1,9.6336,20.314,11.25,3.155
10.492,0.708296766,-0.35948,0.0072162,1,9.7339,20.414,11.25,3.155
10.496,0.708566799,-0.35954,0.0084395,1,9.8343,20.514,11.25,3.155
10.5,0.708836833,-0.35954,0.0094825,1,9.9347,20.615,11.25,3.155
10.505,0.709174374,-0.35955,0.010526,1,10.035,20.715,11.25,3.155
