"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.3607,0.1961,-0.12968,9.3609,0.19444,-0.13051,8.9678,1,1.2042,11.884,12.25,3.155
9.358,0.19718,-0.13126,9.3582,0.19548,-0.1321,8.9938,1,1.2142,11.894,12.25,3.155
9.3554,0.19825,-0.13284,9.3556,0.19653,-0.1337,9.0197,1,1.2243,11.904,12.25,3.155
9.3528,0.19932,-0.13442,9.3529,0.19758,-0.13529,9.0457,1,1.2343,11.914,12.25,3.155
9.3501,0.2004,-0.136,9.3503,0.19863,-0.13688,9.0716,1,1.2443,11.924,12.25,3.155
9.3475,0.20147,-0.13759,9.3476,0.19968,-0.13847,9.0976,1,1.2544,11.934,12.25,3.155
9.3449,0.20255,-0.13917,9.345,0.20073,-0.14006,9.1235,1,1.2644,11.944,12.25,3.155
9.3422,0.20362,-0.14075,9.3423,0.20178,-0.14166,9.1494,1,1.2744,11.954,12.25,3.155
9.3396,0.20469,-0.14233,9.3397,0.20283,-0.14325,9.1754,1,1.2845,11.964,12.25,3.155
9.337,0.20577,-0.14392,9.337,0.20388,-0.14484,9.2013,1,1.2945,11.975,12.25,3.155
9.3343,0.20675,-0.14552,9.3343,0.20483,-0.14645,9.228,1,1.3046,11.985,12.25,3.155
9.3315,0.20785,-0.14722,9.3315,0.2059,-0.14817,9.2555,1,1.3146,11.995,12.25,3.155
9.3287,0.20901,-0.14894,9.3287,0.20703,-0.1499,9.2831,1,1.3246,12.005,12.25,3.155
9.3259,0.21017,-0.15067,9.3259,0.20816,-0.15164,9.3108,1,1.3347,12.015,12.25,3.155
9.3231,0.21132,-0.15239,9.3231,0.20928,-0.15338,9.3385,1,1.3447,12.025,12.25,3.155
9.3203,0.21248,-0.15412,9.3203,0.21041,-0.15512,9.3661,1,1.3547,12.035,12.25,3.155
9.3175,0.21363,-0.15585,9.3175,0.21154,-0.15686,9.3938,1,1.3648,12.045,12.25,3.155
9.3148,0.21479,-0.15757,9.3147,0.21266,-0.15859,9.4214,1,1.3748,12.055,12.25,3.155
9.312,0.21595,-0.1593,9.3119,0.21379,-0.16033,9.4491,1,1.3848,12.065,12.25,3.155
9.3092,0.2171,-0.16102,9.3091,0.21492,-0.16207,9.4767,1,1.3949,12.075,12.25,3.155
9.3064,0.21826,-0.16275,9.3063,0.21604,-0.16381,9.5044,1,1.4049,12.085,12.25,3.155
9.3035,0.21934,-0.16449,9.3034,0.21709,-0.16556,9.5326,1,1.4149,12.095,12.25,3.155
9.3006,0.2205,-0.16633,9.3005,0.21821,-0.16742,9.562,1,1.425,12.105,12.25,3.155
9.2977,0.22174,-0.16822,9.2975,0.21942,-0.16932,9.5916,1,1.435,12.115,12.25,3.155
9.2947,0.22299,-0.1701,9.2945,0.22064,-0.17122,9.6212,1,1.445,12.125,12.25,3.155
9.2917,0.22424,-0.17199,9.2916,0.22185,-0.17312,9.6508,1,1.4551,12.135,12.25,3.155
9.2888,0.22549,-0.17387,9.2886,0.22306,-0.17502,9.6804,1,1.4651,12.145,12.25,3.155
9.2858,0.22674,-0.17576,9.2856,0.22427,-0.17692,9.71,1,1.4751,12.155,12.25,3.155
9.2829,0.22799,-0.17764,9.2826,0.22549,-0.17882,9.7396,1,1.4852,12.165,12.25,3.155
9.2799,0.22924,-0.17953,9.2797,0.2267,-0.18073,9.7691,1,1.4952,12.175,12.25,3.155
9.277,0.23049,-0.18142,9.2767,0.22791,-0.18263,9.7987,1,1.5052,12.185,12.25,3.155
9.274,0.23174,-0.1833,9.2737,0.22913,-0.18453,9.8283,1,1.5153,12.195,12.25,3.155
9.271,0.23295,-0.18519,9.2707,0.23031,-0.18644,9.8582,1,1.5253,12.205,12.25,3.155
9.2679,0.23412,-0.18716,9.2676,0.23143,-0.18842,9.8895,1,1.5354,12.215,12.25,3.155
9.2648,0.23547,-0.18923,9.2644,0.23274,-0.19051,9.9213,1,1.5454,12.225,12.25,3.155
9.2617,0.23682,-0.19129,9.2612,0.23405,-0.19259,9.9531,1,1.5554,12.235,12.25,3.155
9.2585,0.23818,-0.19335,9.2581,0.23536,-0.19467,9.9849,1,1.5655,12.245,12.25,3.155
9.2554,0.23953,-0.19542,9.2549,0.23667,-0.19675,10.017,1,1.5755,12.255,12.25,3.155
9.2523,0.24088,-0.19748,9.2518,0.23798,-0.19884,10.049,1,1.5855,12.266,12.25,3.155
9.2491,0.24224,-0.19955,9.2486,0.23929,-0.20092,10.08,1,1.5956,12.276,12.25,3.155
9.246,0.24359,-0.20161,9.2454,0.2406,-0.203,10.112,1,1.6056,12.286,12.25,3.155
