"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.393,3.6046,0.32584,0.1278,5.1321,0.26873,-0.17114,1,8.5297,16.21,11.25,6.845
-6.3156,3.5971,0.32773,0.12288,5.1765,0.26605,-0.18065,1,8.6301,16.31,11.25,6.845
-6.2402,3.5904,0.32955,0.118,5.2238,0.26338,-0.19008,1,8.7304,16.41,11.25,6.845
-6.1668,3.5837,0.33147,0.11367,5.2698,0.26055,-0.199,1,8.8308,16.511,11.25,6.845
-6.096,3.5781,0.3333,0.10951,5.3191,0.25771,-0.20775,1,8.9312,16.611,11.25,6.845
-6.0264,3.5722,0.3352,0.10573,5.3672,0.25476,-0.21619,1,9.0315,16.712,11.25,6.845
-5.9597,3.5674,0.33707,0.10239,5.4179,0.25173,-0.22434,1,9.1318,16.812,11.25,6.845
-5.8936,3.563,0.33894,0.099142,5.4694,0.2487,-0.23243,1,9.2322,16.912,11.25,6.845
-5.8301,3.5581,0.34087,0.096831,5.52,0.24542,-0.23998,1,9.3326,17.013,11.25,6.845
-5.7674,3.5545,0.34278,0.094546,5.5732,0.24222,-0.24763,1,9.4329,17.113,11.25,6.845
-5.7064,3.5499,0.34465,0.093127,5.6252,0.23879,-0.25486,1,9.5332,17.213,11.25,6.845
-5.6462,3.5467,0.34655,0.091964,5.6799,0.23541,-0.26217,1,9.6336,17.314,11.25,6.845
-5.5871,3.5422,0.34828,0.091582,5.7333,0.23182,-0.26914,1,9.7339,17.414,11.25,6.845
-5.5287,3.5393,0.35005,0.091621,5.7896,0.22827,-0.2762,1,9.8343,17.514,11.25,6.845
-5.4708,3.5346,0.35155,0.092373,5.8444,0.22453,-0.28298,1,9.9347,17.615,11.25,6.845
-5.4136,3.5321,0.35306,0.093565,5.9021,0.22082,-0.28987,1,10.035,17.715,11.25,6.845
