"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.33295e-01,3.39720e+00,-1.09881e+01,9.78499e+00,2.77819e+00,4.40441e-02,2.82500e-01,1,4.51575e+00,1.21958e+01,1.10550e+01,6.84500e+00
3.39733e-01,3.43974e+00,-1.07785e+01,9.73323e+00,2.78904e+00,4.58396e-02,2.65209e-01,1,4.61610e+00,1.22961e+01,1.10550e+01,6.84500e+00
3.46172e-01,3.48228e+00,-1.05689e+01,9.68147e+00,2.79989e+00,4.76352e-02,2.47918e-01,1,4.71645e+00,1.23965e+01,1.10550e+01,6.84500e+00
3.52119e-01,3.51892e+00,-1.03811e+01,9.63392e+00,2.81150e+00,4.81347e-02,2.32346e-01,1,4.81680e+00,1.24968e+01,1.10550e+01,6.84500e+00
3.57950e-01,3.55416e+00,-1.01985e+01,9.58737e+00,2.82330e+00,4.83265e-02,2.17181e-01,1,4.91715e+00,1.25971e+01,1.10550e+01,6.84500e+00
3.63781e-01,3.58940e+00,-1.00159e+01,9.54081e+00,2.83509e+00,4.85183e-02,2.02017e-01,1,5.01750e+00,1.26975e+01,1.10550e+01,6.84500e+00
3.69612e-01,3.62465e+00,-9.83331e+00,9.49426e+00,2.84688e+00,4.87100e-02,1.86852e-01,1,5.11785e+00,1.27978e+01,1.10550e+01,6.84500e+00
3.75314e-01,3.65847e+00,-9.65610e+00,9.44868e+00,2.85965e+00,4.86977e-02,1.72011e-01,1,5.21820e+00,1.28982e+01,1.10550e+01,6.84500e+00
3.80658e-01,3.68834e+00,-9.49386e+00,9.40579e+00,2.87513e+00,4.81185e-02,1.58067e-01,1,5.31855e+00,1.29986e+01,1.10550e+01,6.84500e+00
3.86001e-01,3.71821e+00,-9.33162e+00,9.36290e+00,2.89060e+00,4.75394e-02,1.44124e-01,1,5.41890e+00,1.30989e+01,1.10550e+01,6.84500e+00
3.91345e-01,3.74808e+00,-9.16938e+00,9.32000e+00,2.90608e+00,4.69602e-02,1.30180e-01,1,5.51925e+00,1.31993e+01,1.10550e+01,6.84500e+00
3.96638e-01,3.77738e+00,-9.00936e+00,9.27743e+00,2.92208e+00,4.63376e-02,1.16300e-01,1,5.61960e+00,1.32996e+01,1.10550e+01,6.84500e+00
4.01616e-01,3.80318e+00,-8.86305e+00,9.23682e+00,2.94134e+00,4.54459e-02,1.02810e-01,1,5.71995e+00,1.34000e+01,1.10550e+01,6.84500e+00
4.06595e-01,3.82898e+00,-8.71674e+00,9.19622e+00,2.96059e+00,4.45542e-02,8.93208e-02,1,5.82030e+00,1.35003e+01,1.10550e+01,6.84500e+00
4.11573e-01,3.85477e+00,-8.57044e+00,9.15561e+00,2.97985e+00,4.36625e-02,7.58315e-02,1,5.92065e+00,1.36006e+01,1.10550e+01,6.84500e+00
4.16446e-01,3.87933e+00,-8.42780e+00,9.11550e+00,3.00024e+00,4.27412e-02,6.23938e-02,1,6.02100e+00,1.37010e+01,1.10550e+01,6.84500e+00
4.21156e-01,3.90197e+00,-8.29082e+00,9.07616e+00,3.02240e+00,4.17741e-02,4.90361e-02,1,6.12135e+00,1.38013e+01,1.10550e+01,6.84500e+00
4.25866e-01,3.92460e+00,-8.15385e+00,9.03682e+00,3.04455e+00,4.08071e-02,3.56783e-02,1,6.22170e+00,1.39017e+01,1.10550e+01,6.84500e+00
4.30576e-01,3.94724e+00,-8.01687e+00,8.99748e+00,3.06670e+00,3.98400e-02,2.23205e-02,1,6.32205e+00,1.40021e+01,1.10550e+01,6.84500e+00
4.35099e-01,3.96748e+00,-7.88534e+00,8.95879e+00,3.09082e+00,3.89331e-02,9.00655e-03,1,6.42240e+00,1.41024e+01,1.10550e+01,6.84500e+00
4.39620e-01,3.98770e+00,-7.75385e+00,8.92010e+00,3.11495e+00,3.80267e-02,-4.30714e-03,1,6.52275e+00,1.42028e+01,1.10550e+01,6.84500e+00
4.44141e-01,4.00792e+00,-7.62237e+00,8.88142e+00,3.13909e+00,3.71203e-02,-1.76207e-02,1,6.62310e+00,1.43031e+01,1.10550e+01,6.84500e+00
4.48536e-01,4.02638e+00,-7.49442e+00,8.84297e+00,3.16469e+00,3.63356e-02,-3.08252e-02,1,6.72345e+00,1.44035e+01,1.10550e+01,6.84500e+00
4.52918e-01,4.04465e+00,-7.36686e+00,8.80454e+00,3.19045e+00,3.55642e-02,-4.40179e-02,1,6.82380e+00,1.45038e+01,1.10550e+01,6.84500e+00
4.57250e-01,4.06259e+00,-7.24116e+00,8.76641e+00,3.21600e+00,3.48131e-02,-5.70474e-02,1,6.92415e+00,1.46041e+01,1.10550e+01,6.84500e+00
4.61129e-01,4.07748e+00,-7.13288e+00,8.73103e+00,3.23957e+00,3.42514e-02,-6.85620e-02,1,7.02450e+00,1.47045e+01,1.10550e+01,6.84500e+00
4.65007e-01,4.09237e+00,-7.02459e+00,8.69565e+00,3.26315e+00,3.36896e-02,-8.00764e-02,1,7.12485e+00,1.48048e+01,1.10550e+01,6.84500e+00
4.69494e-01,4.10868e+00,-6.90385e+00,8.65353e+00,3.29119e+00,3.30964e-02,-9.39659e-02,1,7.22520e+00,1.49052e+01,1.10550e+01,6.84500e+00
4.74285e-01,4.12528e+00,-6.77632e+00,8.60758e+00,3.32202e+00,3.25151e-02,-1.09548e-01,1,7.32555e+00,1.50056e+01,1.10550e+01,6.84500e+00
4.78346e-01,4.13867e+00,-6.66167e+00,8.56795e+00,3.34956e+00,3.20767e-02,-1.24183e-01,1,7.42590e+00,1.51059e+01,1.10550e+01,6.84500e+00
4.82369e-01,4.15153e+00,-6.53994e+00,8.52845e+00,3.37659e+00,3.17416e-02,-1.38770e-01,1,7.52625e+00,1.52063e+01,1.10550e+01,6.84500e+00
4.86368e-01,4.16404e+00,-6.41650e+00,8.48908e+00,3.40355e+00,3.14719e-02,-1.53263e-01,1,7.62660e+00,1.53066e+01,1.10550e+01,6.84500e+00
4.90342e-01,4.17623e+00,-6.29262e+00,8.44985e+00,3.43054e+00,3.12614e-02,-1.67644e-01,1,7.72695e+00,1.54069e+01,1.10550e+01,6.84500e+00
4.94272e-01,4.18787e+00,-6.16947e+00,8.41092e+00,3.45746e+00,3.11271e-02,-1.81668e-01,1,7.82730e+00,1.55073e+01,1.10550e+01,6.84500e+00
4.98177e-01,4.19921e+00,-6.04644e+00,8.37215e+00,3.48425e+00,3.10192e-02,-1.95416e-01,1,7.92765e+00,1.56076e+01,1.10550e+01,6.84500e+00
5.02057e-01,4.21027e+00,-5.92350e+00,8.33354e+00,3.51091e+00,3.09353e-02,-2.08902e-01,1,8.02800e+00,1.57080e+01,1.10550e+01,6.84500e+00
5.05886e-01,4.22076e+00,-5.80051e+00,8.29527e+00,3.53726e+00,3.08788e-02,-2.21750e-01,1,8.12835e+00,1.58083e+01,1.10550e+01,6.84500e+00
5.09686e-01,4.23095e+00,-5.67746e+00,8.25717e+00,3.56346e+00,3.08271e-02,-2.34223e-01,1,8.22870e+00,1.59087e+01,1.10550e+01,6.84500e+00
5.13456e-01,4.24082e+00,-5.55437e+00,8.21926e+00,3.58950e+00,3.07807e-02,-2.46304e-01,1,8.32905e+00,1.60091e+01,1.10550e+01,6.84500e+00
5.17161e-01,4.25006e+00,-5.43124e+00,8.18171e+00,3.61528e+00,3.07297e-02,-2.57593e-01,1,8.42940e+00,1.61094e+01,1.10550e+01,6.84500e+00
5.20835e-01,4.25901e+00,-5.30816e+00,8.14430e+00,3.64096e+00,3.06729e-02,-2.68521e-01,1,8.52975e+00,1.62097e+01,1.10550e+01,6.84500e+00
5.24454e-01,4.26744e+00,-5.18519e+00,8.10716e+00,3.66647e+00,3.06041e-02,-2.78796e-01,1,8.63010e+00,1.63101e+01,1.10550e+01,6.84500e+00
5.28011e-01,4.27531e+00,-5.06254e+00,8.07027e+00,3.69187e+00,3.05181e-02,-2.88409e-01,1,8.73045e+00,1.64104e+01,1.10550e+01,6.84500e+00
5.31537e-01,4.28289e+00,-4.94004e+00,8.03352e+00,3.71721e+00,3.04233e-02,-2.97684e-01,1,8.83080e+00,1.65108e+01,1.10550e+01,6.84500e+00
