p,U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,,Points:2
0.61138,10.066,1.025364164,0.068471,0.024407,1,20.025,12.48,20.025,1.95,3.155
0.59273,10.067,1.025466028,0.063809,0.024433,1,20.25,12.48,20.25,2,3.155
0.57733,10.068,1.025567892,0.059692,0.024385,1,20.475,12.48,20.475,2.05,3.155
0.562,10.069,1.025669757,0.055586,0.024356,1,20.7,12.48,20.7,2.1,3.155
0.5477,10.07,1.025771621,0.051289,0.024265,1,20.925,12.48,20.925,2.15,3.155
0.53344,10.071,1.025873485,0.046997,0.02419,1,21.15,12.48,21.15,2.2,3.155
0.52199,10.072,1.025975349,0.04338,0.024095,1,21.375,12.48,21.375,2.25,3.155
0.51057,10.073,1.026077213,0.039765,0.024013,1,21.6,12.48,21.6,2.3,3.155
0.49933,10.074,1.026179077,0.035684,0.023901,1,21.825,12.48,21.825,2.35,3.155
0.4881,10.075,1.026280941,0.031602,0.0238,1,22.05,12.48,22.05,2.4,3.155
0.4795,10.075,1.026280941,0.028347,0.023713,1,22.275,12.48,22.275,2.45,3.155
0.47089,10.076,1.026382805,0.025089,0.023633,1,22.5,12.48,22.5,2.5,3.155
