"nut","k","p","omega","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0059429,0.081677,-12.825,9.615,2.0715,0.14144,0.23796,3.8729,0.17405,-0.17341,1,7.6266,12.307,11.051,6.845
0.0057909,0.080056,-12.671,9.5981,2.0843,0.15279,0.22719,3.9357,0.17698,-0.19714,1,7.727,12.407,11.051,6.845
0.005723,0.079195,-12.471,9.5552,2.0877,0.15885,0.23423,3.9982,0.17678,-0.21741,1,7.8273,12.507,11.051,6.845
0.0056631,0.078407,-12.267,9.5097,2.0902,0.16441,0.24296,4.0606,0.17628,-0.23736,1,7.9277,12.608,11.051,6.845
0.0056033,0.077619,-12.063,9.4642,2.0927,0.16996,0.25169,4.123,0.17578,-0.2573,1,8.028,12.708,11.051,6.845
0.0055435,0.076831,-11.859,9.4187,2.0952,0.17552,0.26042,4.1855,0.17528,-0.27725,1,8.1284,12.808,11.051,6.845
0.0054811,0.075913,-11.68,9.3723,2.1027,0.18034,0.27792,4.2514,0.17427,-0.297,1,8.2287,12.909,11.051,6.845
0.0054144,0.074771,-11.543,9.3241,2.1188,0.18391,0.3104,4.3232,0.17237,-0.3164,1,8.3291,13.009,11.051,6.845
0.0053478,0.07363,-11.407,9.276,2.1349,0.18747,0.34288,4.3951,0.17047,-0.33581,1,8.4294,13.109,11.051,6.845
0.0052811,0.072489,-11.271,9.2278,2.151,0.19103,0.37536,4.467,0.16858,-0.35522,1,8.5298,13.21,11.051,6.845
0.0052201,0.07125,-11.142,9.1922,2.166,0.19365,0.41309,4.54,0.16642,-0.37519,1,8.6301,13.31,11.051,6.845
0.0051764,0.069709,-11.038,9.1956,2.1779,0.19333,0.46709,4.6167,0.16347,-0.39692,1,8.7305,13.41,11.051,6.845
0.0051327,0.068168,-10.933,9.1989,2.1897,0.19301,0.5211,4.6933,0.16052,-0.41865,1,8.8308,13.511,11.051,6.845
0.0050889,0.066627,-10.829,9.2023,2.2016,0.19269,0.5751,4.77,0.15757,-0.44037,1,8.9312,13.611,11.051,6.845
0.0049957,0.064758,-10.758,9.2333,2.2137,0.19087,0.63254,4.8487,0.15443,-0.46429,1,9.0315,13.712,11.05,6.845
0.0048523,0.062559,-10.722,9.2921,2.2262,0.18754,0.69343,4.9295,0.15109,-0.49042,1,9.1319,13.812,11.05,6.845
0.004709,0.06036,-10.685,9.3509,2.2386,0.1842,0.75433,5.0103,0.14775,-0.51654,1,9.2322,13.912,11.05,6.845
0.0045725,0.058276,-10.658,9.4111,2.2518,0.18056,0.81275,5.0913,0.14442,-0.54315,1,9.3326,14.013,11.05,6.845
0.0045007,0.057276,-10.716,9.4842,2.2722,0.1742,0.84772,5.1747,0.14117,-0.57427,1,9.4329,14.113,11.05,6.845
0.0044289,0.056275,-10.775,9.5572,2.2926,0.16783,0.88269,5.2581,0.13793,-0.60539,1,9.5333,14.213,11.05,6.845
0.0043594,0.055299,-10.835,9.6305,2.3131,0.16144,0.91721,5.3416,0.13469,-0.63653,1,9.6336,14.314,11.05,6.845
0.0046393,0.057877,-10.987,9.7439,2.3597,0.15263,0.88475,5.4288,0.13193,-0.67022,1,9.734,14.414,11.05,6.845
0.0049192,0.060456,-11.14,9.8573,2.4062,0.14381,0.8523,5.516,0.12917,-0.7039,1,9.8343,14.514,11.05,6.845
0.0052188,0.063301,-11.304,9.9774,2.4557,0.13498,0.81036,5.6006,0.12659,-0.73617,1,9.9347,14.615,11.05,6.845
0.0055966,0.0672,-11.511,10.124,2.5166,0.12605,0.73089,5.6744,0.12468,-0.76282,1,10.035,14.715,11.05,6.845
