U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
23.504,23.508,23.506,23.506,0.986776374,,,,9.48,11.25,6.5188
23.509,23.513,23.51,23.51066667,0.986972279,,,,9.48,11.25,6.5525
23.514,23.518,23.515,23.51566667,0.987182178,,,,9.48,11.25,6.5862
23.519,23.523,23.521,23.521,0.98740607,,,,9.48,11.25,6.62
23.525,23.529,23.526,23.52666667,0.987643956,,,,9.48,11.25,6.6537
23.53,23.534,23.532,23.532,0.987867848,,,,9.48,11.25,6.6875
23.536,23.54,23.537,23.53766667,0.988105733,,,,9.48,11.25,6.7213
23.541,23.545,23.543,23.543,0.988329625,,,,9.48,11.25,6.755
23.547,23.551,23.548,23.54866667,0.98856751,,,,9.48,11.25,6.7888
23.553,23.556,23.554,23.55433333,0.988805396,,,,9.48,11.25,6.8225
23.559,23.562,23.56,23.56033333,0.989057274,,,,9.48,11.25,6.8562
23.565,23.568,23.566,23.56633333,0.989309153,,,,9.48,11.25,6.89
23.571,23.574,23.572,23.57233333,0.989561032,,,,9.48,11.25,6.9237
23.577,23.58,23.578,23.57833333,0.98981291,,,,9.48,11.25,6.9575
23.583,23.586,23.584,23.58433333,0.990064789,,,,9.48,11.25,6.9913
23.589,23.592,23.59,23.59033333,0.990316667,,,,9.48,11.25,7.025
23.595,23.598,23.596,23.59633333,0.990568546,,,,9.48,11.25,7.0588
23.601,23.605,23.602,23.60266667,0.990834418,,,,9.48,11.25,7.0925
23.608,23.611,23.609,23.60933333,0.991114283,,,,9.48,11.25,7.1262
23.614,23.617,23.615,23.61533333,0.991366162,,,,9.48,11.25,7.16
23.62,23.624,23.621,23.62166667,0.991632033,,,,9.48,11.25,7.1937
23.627,23.63,23.628,23.62833333,0.991911898,,,,9.48,11.25,7.2275
23.633,23.636,23.634,23.63433333,0.992163777,,,,9.48,11.25,7.2613
23.639,23.642,23.64,23.64033333,0.992415656,,,,9.48,11.25,7.295
23.646,23.649,23.647,23.64733333,0.992709514,,,,9.48,11.25,7.3288
23.652,23.655,23.653,23.65333333,0.992961393,,,,9.48,11.25,7.3625
23.659,23.661,23.66,23.66,0.993241258,,,,9.48,11.25,7.3962
23.665,23.668,23.666,23.66633333,0.99350713,,,,9.48,11.25,7.43
23.671,23.674,23.672,23.67233333,0.993759008,,,,9.48,11.25,7.4637
23.678,23.681,23.679,23.67933333,0.994052867,,,,9.48,11.25,7.4975
23.684,23.687,23.685,23.68533333,0.994304745,,,,9.48,11.25,7.5312
23.69,23.693,23.691,23.69133333,0.994556624,,,,9.48,11.25,7.565
23.697,23.699,23.698,23.698,0.994836489,,,,9.48,11.25,7.5988
23.703,23.705,23.704,23.704,0.995088367,,,,9.48,11.25,7.6325
23.709,23.711,23.71,23.71,0.995340246,,,,9.48,11.25,7.6663
23.715,23.718,23.716,23.71633333,0.995606118,,,,9.48,11.25,7.7
23.721,23.724,23.722,23.72233333,0.995857996,,,,9.48,11.25,7.7337
23.727,23.73,23.728,23.72833333,0.996109875,,,,9.48,11.25,7.7675
23.734,23.736,23.735,23.735,0.99638974,,,,9.48,11.25,7.8012
23.74,23.742,23.74,23.74066667,0.996627625,,,,9.48,11.25,7.835
23.745,23.747,23.746,23.746,0.996851518,,,,9.48,11.25,7.8688
23.751,23.753,23.752,23.752,0.997103396,,,,9.48,11.25,7.9025
23.757,23.759,23.758,23.758,0.997355275,,,,9.48,11.25,7.9363
23.763,23.765,23.763,23.76366667,0.99759316,,,,9.48,11.25,7.97
23.768,23.77,23.769,23.769,0.997817052,,,,9.48,11.25,8.0037
23.774,23.776,23.775,23.775,0.998068931,,,,9.48,11.25,8.0375
23.78,23.781,23.78,23.78033333,0.998292823,,,,9.48,11.25,8.0712
23.785,23.787,23.786,23.786,0.998530708,,,,9.48,11.25,8.105
23.79,23.792,23.791,23.791,0.998740607,,,,9.48,11.25,8.1388
23.795,23.797,23.796,23.796,0.998950506,,,,9.48,11.25,8.1725
23.801,23.802,23.801,23.80133333,0.999174398,,,,9.48,11.25,8.2063
23.806,23.807,23.806,23.80633333,0.999384297,,,,9.48,11.25,8.24
23.811,23.813,23.812,23.812,0.999622182,,,,9.48,11.25,8.2738
23.816,23.818,23.817,23.817,0.999832081,,,,9.48,11.25,8.3075
23.821,23.822,23.821,23.82133333,1.000013993,,,,9.48,11.25,8.3413
23.825,23.827,23.826,23.826,1.000209899,,,,9.48,11.25,8.375
