"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.80522e-01,3.63726e+00,-9.33514e+00,9.27512e+00,2.83948e+00,7.53831e-02,1.40137e-01,1,5.41890e+00,1.30989e+01,1.12500e+01,6.84500e+00
3.86014e-01,3.66883e+00,-9.17224e+00,9.23407e+00,2.85532e+00,7.31079e-02,1.26618e-01,1,5.51925e+00,1.31993e+01,1.12500e+01,6.84500e+00
3.91449e-01,3.69979e+00,-9.01157e+00,9.19333e+00,2.87166e+00,7.07806e-02,1.13157e-01,1,5.61960e+00,1.32996e+01,1.12500e+01,6.84500e+00
3.96526e-01,3.72689e+00,-8.86473e+00,9.15448e+00,2.89118e+00,6.81303e-02,1.00057e-01,1,5.71995e+00,1.34000e+01,1.12500e+01,6.84500e+00
4.01604e-01,3.75400e+00,-8.71789e+00,9.11562e+00,2.91070e+00,6.54800e-02,8.69581e-02,1,5.82030e+00,1.35003e+01,1.12500e+01,6.84500e+00
4.06682e-01,3.78111e+00,-8.57106e+00,9.07677e+00,2.93021e+00,6.28298e-02,7.38590e-02,1,5.92065e+00,1.36006e+01,1.12500e+01,6.84500e+00
4.11646e-01,3.80691e+00,-8.42797e+00,9.03838e+00,2.95083e+00,6.01281e-02,6.07817e-02,1,6.02100e+00,1.37010e+01,1.12500e+01,6.84500e+00
4.16435e-01,3.83069e+00,-8.29069e+00,9.00069e+00,2.97317e+00,5.73470e-02,4.77386e-02,1,6.12135e+00,1.38013e+01,1.12500e+01,6.84500e+00
4.21224e-01,3.85447e+00,-8.15341e+00,8.96300e+00,2.99550e+00,5.45658e-02,3.46953e-02,1,6.22170e+00,1.39017e+01,1.12500e+01,6.84500e+00
4.26013e-01,3.87825e+00,-8.01613e+00,8.92532e+00,3.01784e+00,5.17847e-02,2.16520e-02,1,6.32205e+00,1.40021e+01,1.12500e+01,6.84500e+00
4.30610e-01,3.89960e+00,-7.88450e+00,8.88818e+00,3.04209e+00,4.90631e-02,8.56431e-03,1,6.42240e+00,1.41024e+01,1.12500e+01,6.84500e+00
4.35207e-01,3.92093e+00,-7.75292e+00,8.85104e+00,3.06635e+00,4.63421e-02,-4.52391e-03,1,6.52275e+00,1.42028e+01,1.12500e+01,6.84500e+00
4.39803e-01,3.94226e+00,-7.62134e+00,8.81390e+00,3.09062e+00,4.36211e-02,-1.76120e-02,1,6.62310e+00,1.43031e+01,1.12500e+01,6.84500e+00
4.44279e-01,3.96185e+00,-7.49344e+00,8.77690e+00,3.11632e+00,4.10652e-02,-3.06662e-02,1,6.72345e+00,1.44035e+01,1.12500e+01,6.84500e+00
4.48743e-01,3.98126e+00,-7.36594e+00,8.73991e+00,3.14217e+00,3.85272e-02,-4.37167e-02,1,6.82380e+00,1.45038e+01,1.12500e+01,6.84500e+00
4.53158e-01,4.00034e+00,-7.24031e+00,8.70319e+00,3.16781e+00,3.60359e-02,-5.66106e-02,1,6.92415e+00,1.46041e+01,1.12500e+01,6.84500e+00
4.57120e-01,4.01633e+00,-7.13212e+00,8.66903e+00,3.19147e+00,3.39774e-02,-6.80507e-02,1,7.02450e+00,1.47045e+01,1.12500e+01,6.84500e+00
4.61083e-01,4.03232e+00,-7.02392e+00,8.63487e+00,3.21512e+00,3.19189e-02,-7.94906e-02,1,7.12485e+00,1.48048e+01,1.12500e+01,6.84500e+00
4.65674e-01,4.04995e+00,-6.90329e+00,8.59413e+00,3.24325e+00,2.95555e-02,-9.33160e-02,1,7.22520e+00,1.49052e+01,1.12500e+01,6.84500e+00
4.70585e-01,4.06802e+00,-6.77593e+00,8.54962e+00,3.27418e+00,2.70143e-02,-1.08854e-01,1,7.32555e+00,1.50056e+01,1.12500e+01,6.84500e+00
4.74753e-01,4.08270e+00,-6.66161e+00,8.51118e+00,3.30181e+00,2.47452e-02,-1.23485e-01,1,7.42590e+00,1.51059e+01,1.12500e+01,6.84500e+00
4.78888e-01,4.09687e+00,-6.54033e+00,8.47283e+00,3.32893e+00,2.25804e-02,-1.38115e-01,1,7.52625e+00,1.52063e+01,1.12500e+01,6.84500e+00
4.83001e-01,4.11071e+00,-6.41735e+00,8.43458e+00,3.35597e+00,2.04934e-02,-1.52678e-01,1,7.62660e+00,1.53066e+01,1.12500e+01,6.84500e+00
4.87093e-01,4.12424e+00,-6.29394e+00,8.39645e+00,3.38304e+00,1.84814e-02,-1.67154e-01,1,7.72695e+00,1.54069e+01,1.12500e+01,6.84500e+00
4.91144e-01,4.13723e+00,-6.17119e+00,8.35857e+00,3.41005e+00,1.66050e-02,-1.81302e-01,1,7.82730e+00,1.55073e+01,1.12500e+01,6.84500e+00
4.95171e-01,4.14992e+00,-6.04851e+00,8.32084e+00,3.43692e+00,1.47967e-02,-1.95183e-01,1,7.92765e+00,1.56076e+01,1.12500e+01,6.84500e+00
4.99175e-01,4.16234e+00,-5.92589e+00,8.28326e+00,3.46368e+00,1.30518e-02,-2.08811e-01,1,8.02800e+00,1.57080e+01,1.12500e+01,6.84500e+00
5.03128e-01,4.17419e+00,-5.80312e+00,8.24599e+00,3.49012e+00,1.14176e-02,-2.21806e-01,1,8.12835e+00,1.58083e+01,1.12500e+01,6.84500e+00
5.07052e-01,4.18573e+00,-5.68026e+00,8.20887e+00,3.51643e+00,9.83371e-03,-2.34425e-01,1,8.22870e+00,1.59087e+01,1.12500e+01,6.84500e+00
5.10945e-01,4.19694e+00,-5.55730e+00,8.17192e+00,3.54258e+00,8.30251e-03,-2.46651e-01,1,8.32905e+00,1.60091e+01,1.12500e+01,6.84500e+00
5.14772e-01,4.20749e+00,-5.43424e+00,8.13528e+00,3.56849e+00,6.86035e-03,-2.58077e-01,1,8.42940e+00,1.61094e+01,1.12500e+01,6.84500e+00
5.18568e-01,4.21775e+00,-5.31119e+00,8.09878e+00,3.59431e+00,5.45529e-03,-2.69135e-01,1,8.52975e+00,1.62097e+01,1.12500e+01,6.84500e+00
5.22306e-01,4.22745e+00,-5.18819e+00,8.06252e+00,3.61997e+00,4.11536e-03,-2.79531e-01,1,8.63010e+00,1.63101e+01,1.12500e+01,6.84500e+00
5.25979e-01,4.23656e+00,-5.06546e+00,8.02648e+00,3.64554e+00,2.83663e-03,-2.89252e-01,1,8.73045e+00,1.64104e+01,1.12500e+01,6.84500e+00
5.29620e-01,4.24536e+00,-4.94288e+00,7.99056e+00,3.67105e+00,1.58914e-03,-2.98628e-01,1,8.83080e+00,1.65108e+01,1.12500e+01,6.84500e+00
5.33152e-01,4.25319e+00,-4.82111e+00,7.95497e+00,3.69646e+00,4.31323e-04,-3.06969e-01,1,8.93115e+00,1.66112e+01,1.12500e+01,6.84500e+00
5.36649e-01,4.26071e+00,-4.69971e+00,7.91948e+00,3.72186e+00,-7.01140e-04,-3.15013e-01,1,9.03150e+00,1.67115e+01,1.12500e+01,6.84500e+00
5.40053e-01,4.26741e+00,-4.57929e+00,7.88422e+00,3.74724e+00,-1.76604e-03,-3.22265e-01,1,9.13185e+00,1.68118e+01,1.12500e+01,6.84500e+00
5.43389e-01,4.27352e+00,-4.45980e+00,7.84911e+00,3.77261e+00,-2.78619e-03,-3.28993e-01,1,9.23220e+00,1.69122e+01,1.12500e+01,6.84500e+00
5.46656e-01,4.27902e+00,-4.34125e+00,7.81415e+00,3.79799e+00,-3.76087e-03,-3.35189e-01,1,9.33255e+00,1.70126e+01,1.12500e+01,6.84500e+00
5.49821e-01,4.28362e+00,-4.22436e+00,7.77935e+00,3.82340e+00,-4.67372e-03,-3.40677e-01,1,9.43290e+00,1.71129e+01,1.12500e+01,6.84500e+00
5.52940e-01,4.28781e+00,-4.10821e+00,7.74462e+00,3.84882e+00,-5.55939e-03,-3.45853e-01,1,9.53325e+00,1.72132e+01,1.12500e+01,6.84500e+00
5.55924e-01,4.29082e+00,-3.99452e+00,7.71006e+00,3.87429e+00,-6.37079e-03,-3.50203e-01,1,9.63360e+00,1.73136e+01,1.12500e+01,6.84500e+00
5.58885e-01,4.29363e+00,-3.88127e+00,7.67553e+00,3.89978e+00,-7.16925e-03,-3.54409e-01,1,9.73395e+00,1.74139e+01,1.12500e+01,6.84500e+00
5.61686e-01,4.29503e+00,-3.77128e+00,7.64117e+00,3.92532e+00,-7.88573e-03,-3.57739e-01,1,9.83430e+00,1.75143e+01,1.12500e+01,6.84500e+00
5.64474e-01,4.29634e+00,-3.66154e+00,7.60683e+00,3.95088e+00,-8.59626e-03,-3.61007e-01,1,9.93465e+00,1.76147e+01,1.12500e+01,6.84500e+00
5.67097e-01,4.29623e+00,-3.55546e+00,7.57265e+00,3.97650e+00,-9.22816e-03,-3.63472e-01,1,1.00350e+01,1.77150e+01,1.12500e+01,6.84500e+00
