U:0,,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
14.883,0.990944803,0.003846,0.26092,1,8.5775,12.48,11.25,8.5775
14.894,0.991677209,0.0035204,0.25551,1,8.695,12.48,11.25,8.695
14.904,0.992343032,0.0032018,0.25007,1,8.8125,12.48,11.25,8.8125
14.913,0.992942273,0.0029306,0.24439,1,8.93,12.48,11.25,8.93
14.922,0.993541514,0.0026605,0.23871,1,9.0475,12.48,11.25,9.0475
14.93,0.994074173,0.002437,0.23295,1,9.165,12.48,11.25,9.165
14.938,0.994606831,0.0022135,0.22718,1,9.2825,12.48,11.25,9.2825
14.945,0.995072908,0.0020273,0.22146,1,9.4,12.48,11.25,9.4
14.952,0.995538984,0.0018445,0.21575,1,9.5175,12.48,11.25,9.5175
14.958,0.995938478,0.0016892,0.21015,1,9.635,12.48,11.25,9.635
14.964,0.996337972,0.0015403,0.20458,1,9.7525,12.48,11.25,9.7525
14.97,0.996737466,0.001411,0.19917,1,9.87,12.48,11.25,9.87
14.975,0.997070378,0.00129,0.19381,1,9.9875,12.48,11.25,9.9875
14.979,0.997336707,0.0011825,0.1886,1,10.105,12.48,11.25,10.105
14.984,0.997669618,0.0010842,0.1835,1,10.222,12.48,11.25,10.222
14.988,0.997935948,0.0009948,0.17853,1,10.34,12.48,11.25,10.34
14.992,0.998202277,0.0009148,0.1737,1,10.458,12.48,11.25,10.458
14.995,0.998402024,0.00084046,0.16897,1,10.575,12.48,11.25,10.575
14.998,0.998601771,0.00077523,0.16442,1,10.693,12.48,11.25,10.693
15.001,0.998801518,0.00071328,0.15994,1,10.81,12.48,11.25,10.81
15.004,0.999001265,0.00065992,0.15567,1,10.927,12.48,11.25,10.927
15.007,0.999201012,0.00060819,0.15144,1,11.045,12.48,11.25,11.045
15.009,0.999334177,0.00056439,0.14743,1,11.163,12.48,11.25,11.163
15.011,0.999467341,0.00052108,0.14344,1,11.28,12.48,11.25,11.28
15.013,0.999600506,0.00048497,0.13969,1,11.398,12.48,11.25,11.398
15.015,0.999733671,0.00044886,0.13595,1,11.515,12.48,11.25,11.515
15.017,0.999866835,0.00041869,0.13243,1,11.632,12.48,11.25,11.632
15.019,1,0.00038878,0.12893,1,11.75,12.48,11.25,11.75
