"nut","k","p","omega","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.78670e-01,4.14774e+00,-6.64971e+00,8.58179e+00,3.34505e+00,1.32634e-02,-1.37199e-01,1,7.42590e+00,1.51059e+01,1.14450e+01,6.84500e+00
4.82642e-01,4.15978e+00,-6.52803e+00,8.54138e+00,3.37240e+00,9.62354e-03,-1.51045e-01,1,7.52625e+00,1.52063e+01,1.14450e+01,6.84500e+00
4.86593e-01,4.17151e+00,-6.40464e+00,8.50113e+00,3.39963e+00,6.04652e-03,-1.64821e-01,1,7.62660e+00,1.53066e+01,1.14450e+01,6.84500e+00
4.90523e-01,4.18297e+00,-6.28085e+00,8.46104e+00,3.42686e+00,2.53393e-03,-1.78509e-01,1,7.72695e+00,1.54069e+01,1.14450e+01,6.84500e+00
4.94414e-01,4.19394e+00,-6.15794e+00,8.42131e+00,3.45398e+00,-8.35796e-04,-1.91886e-01,1,7.82730e+00,1.55073e+01,1.14450e+01,6.84500e+00
4.98282e-01,4.20465e+00,-6.03517e+00,8.38178e+00,3.48095e+00,-4.12118e-03,-2.05014e-01,1,7.92765e+00,1.56076e+01,1.14450e+01,6.84500e+00
5.02128e-01,4.21511e+00,-5.91254e+00,8.34244e+00,3.50779e+00,-7.32746e-03,-2.17907e-01,1,8.02800e+00,1.57080e+01,1.14450e+01,6.84500e+00
5.05928e-01,4.22506e+00,-5.78980e+00,8.30350e+00,3.53431e+00,-1.03739e-02,-2.30209e-01,1,8.12835e+00,1.58083e+01,1.14450e+01,6.84500e+00
5.09700e-01,4.23474e+00,-5.66699e+00,8.26478e+00,3.56067e+00,-1.33371e-02,-2.42158e-01,1,8.22870e+00,1.59087e+01,1.14450e+01,6.84500e+00
5.13443e-01,4.24413e+00,-5.54410e+00,8.22627e+00,3.58688e+00,-1.62129e-02,-2.53737e-01,1,8.32905e+00,1.60091e+01,1.14450e+01,6.84500e+00
5.17125e-01,4.25294e+00,-5.42114e+00,8.18816e+00,3.61282e+00,-1.89229e-02,-2.64559e-01,1,8.42940e+00,1.61094e+01,1.14450e+01,6.84500e+00
5.20777e-01,4.26147e+00,-5.29822e+00,8.15023e+00,3.63867e+00,-2.15589e-02,-2.75032e-01,1,8.52975e+00,1.62097e+01,1.14450e+01,6.84500e+00
5.24376e-01,4.26952e+00,-5.17540e+00,8.11261e+00,3.66436e+00,-2.40625e-02,-2.84874e-01,1,8.63010e+00,1.63101e+01,1.14450e+01,6.84500e+00
5.27914e-01,4.27703e+00,-5.05289e+00,8.07528e+00,3.68992e+00,-2.64339e-02,-2.94074e-01,1,8.73045e+00,1.64104e+01,1.14450e+01,6.84500e+00
5.31421e-01,4.28426e+00,-4.93054e+00,8.03810e+00,3.71543e+00,-2.87378e-02,-3.02944e-01,1,8.83080e+00,1.65108e+01,1.14450e+01,6.84500e+00
5.34826e-01,4.29061e+00,-4.80906e+00,8.00133e+00,3.74081e+00,-3.08406e-02,-3.10828e-01,1,8.93115e+00,1.66112e+01,1.14450e+01,6.84500e+00
5.38199e-01,4.29668e+00,-4.68796e+00,7.96469e+00,3.76617e+00,-3.28855e-02,-3.18427e-01,1,9.03150e+00,1.67115e+01,1.14450e+01,6.84500e+00
5.41484e-01,4.30200e+00,-4.56787e+00,7.92836e+00,3.79148e+00,-3.47760e-02,-3.25268e-01,1,9.13185e+00,1.68118e+01,1.14450e+01,6.84500e+00
5.44704e-01,4.30677e+00,-4.44872e+00,7.89221e+00,3.81678e+00,-3.65638e-02,-3.31609e-01,1,9.23220e+00,1.69122e+01,1.14450e+01,6.84500e+00
5.47860e-01,4.31098e+00,-4.33052e+00,7.85624e+00,3.84208e+00,-3.82472e-02,-3.37441e-01,1,9.33255e+00,1.70126e+01,1.14450e+01,6.84500e+00
5.50918e-01,4.31435e+00,-4.21400e+00,7.82050e+00,3.86738e+00,-3.97898e-02,-3.42594e-01,1,9.43290e+00,1.71129e+01,1.14450e+01,6.84500e+00
5.53933e-01,4.31735e+00,-4.09822e+00,7.78485e+00,3.89268e+00,-4.12705e-02,-3.47448e-01,1,9.53325e+00,1.72132e+01,1.14450e+01,6.84500e+00
5.56820e-01,4.31925e+00,-3.98491e+00,7.74943e+00,3.91802e+00,-4.25846e-02,-3.51509e-01,1,9.63360e+00,1.73136e+01,1.14450e+01,6.84500e+00
5.59684e-01,4.32095e+00,-3.87204e+00,7.71406e+00,3.94336e+00,-4.38697e-02,-3.55433e-01,1,9.73395e+00,1.74139e+01,1.14450e+01,6.84500e+00
5.62396e-01,4.32134e+00,-3.76242e+00,7.67892e+00,3.96874e+00,-4.49745e-02,-3.58515e-01,1,9.83430e+00,1.75143e+01,1.14450e+01,6.84500e+00
5.65096e-01,4.32164e+00,-3.65307e+00,7.64380e+00,3.99412e+00,-4.60665e-02,-3.61538e-01,1,9.93465e+00,1.76147e+01,1.14450e+01,6.84500e+00
5.67638e-01,4.32060e+00,-3.54735e+00,7.60891e+00,4.01955e+00,-4.69896e-02,-3.63789e-01,1,1.00350e+01,1.77150e+01,1.14450e+01,6.84500e+00
