"p","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.383,3.5453,0.29334,0.22565,3.9486,0.29382,0.12282,1,7.5263,15.206,11.25,6.845
-6.2886,3.5289,0.29473,0.21716,3.9506,0.29423,0.11226,1,7.6266,15.307,11.25,6.845
-6.1968,3.5124,0.29603,0.20908,3.9535,0.2946,0.10201,1,7.727,15.407,11.25,6.845
-6.1063,3.4971,0.29735,0.20155,3.9573,0.29492,0.092264,1,7.8273,15.507,11.25,6.845
-6.019,3.483,0.29859,0.19478,3.9625,0.29519,0.083251,1,7.9276,15.608,11.25,6.845
-5.9334,3.4691,0.29975,0.18822,3.9684,0.29543,0.074412,1,8.028,15.708,11.25,6.845
-5.8496,3.4565,0.30093,0.18222,3.9751,0.29562,0.066283,1,8.1283,15.808,11.25,6.845
-5.7688,3.4442,0.30199,0.17644,3.983,0.29578,0.058358,1,8.2287,15.909,11.25,6.845
-5.6891,3.4324,0.30309,0.17094,3.9913,0.29591,0.0508,1,8.3291,16.009,11.25,6.845
-5.6125,3.4213,0.30416,0.16571,4.0008,0.29599,0.043735,1,8.4294,16.109,11.25,6.845
-5.5369,3.4105,0.30518,0.16049,4.0108,0.29605,0.036746,1,8.5297,16.21,11.25,6.845
-5.4631,3.4003,0.30625,0.15551,4.0215,0.29607,0.030369,1,8.6301,16.31,11.25,6.845
-5.3907,3.3903,0.30715,0.1505,4.0331,0.29606,0.024015,1,8.7304,16.41,11.25,6.845
-5.3198,3.3808,0.30812,0.14578,4.0449,0.29602,0.018113,1,8.8308,16.511,11.25,6.845
-5.2512,3.3716,0.30891,0.14117,4.0579,0.29594,0.012313,1,8.9312,16.611,11.25,6.845
-5.1835,3.3627,0.30979,0.13678,4.0709,0.29584,0.0068057,1,9.0315,16.712,11.25,6.845
-5.1182,3.3542,0.31066,0.1325,4.0851,0.29569,0.0015234,1,9.1318,16.812,11.25,6.845
-5.0534,3.3458,0.31155,0.1282,4.0997,0.29553,-0.0037281,1,9.2322,16.912,11.25,6.845
-4.9905,3.3377,0.31265,0.12412,4.1145,0.29532,-0.0084523,1,9.3326,17.013,11.25,6.845
-4.9281,3.3298,0.31372,0.11987,4.1302,0.29509,-0.013299,1,9.4329,17.113,11.25,6.845
-4.8674,3.3221,0.31484,0.11596,4.1459,0.29481,-0.017697,1,9.5332,17.213,11.25,6.845
-4.8074,3.3148,0.31592,0.11195,4.1627,0.29451,-0.022184,1,9.6336,17.314,11.25,6.845
-4.7492,3.3076,0.3169,0.10843,4.1792,0.29415,-0.026284,1,9.7339,17.414,11.25,6.845
-4.6918,3.3008,0.31779,0.10495,4.197,0.29377,-0.030456,1,9.8343,17.514,11.25,6.845
-4.636,3.2941,0.31855,0.10199,4.2142,0.29333,-0.034287,1,9.9347,17.615,11.25,6.845
-4.581,3.2878,0.31922,0.099119,4.2329,0.29287,-0.038184,1,10.035,17.715,11.25,6.845
