U:0,U:0,U:0,,,,,,Points:0,Points:1,Points:2
23.096,23.11,23.099,23.10166667,0.969802555,,,,10.38,11.25,6.4175
23.104,23.118,23.107,23.10966667,0.970138393,,,,10.38,11.25,6.4513
23.112,23.127,23.115,23.118,0.970488225,,,,10.38,11.25,6.485
23.121,23.135,23.124,23.12666667,0.970852049,,,,10.38,11.25,6.5188
23.129,23.143,23.132,23.13466667,0.971187887,,,,10.38,11.25,6.5525
23.139,23.153,23.142,23.14466667,0.971607685,,,,10.38,11.25,6.5862
23.15,23.164,23.153,23.15566667,0.972069463,,,,10.38,11.25,6.62
23.161,23.175,23.164,23.16666667,0.97253124,,,,10.38,11.25,6.6537
23.172,23.186,23.176,23.178,0.973007011,,,,10.38,11.25,6.6875
23.184,23.197,23.187,23.18933333,0.973482781,,,,10.38,11.25,6.7213
23.195,23.208,23.198,23.20033333,0.973944559,,,,10.38,11.25,6.755
23.206,23.219,23.21,23.21166667,0.974420329,,,,10.38,11.25,6.7888
23.218,23.231,23.221,23.22333333,0.974910093,,,,10.38,11.25,6.8225
23.232,23.244,23.235,23.237,0.975483817,,,,10.38,11.25,6.8562
23.246,23.258,23.249,23.251,0.976071534,,,,10.38,11.25,6.89
23.259,23.272,23.263,23.26466667,0.976645257,,,,10.38,11.25,6.9237
23.273,23.285,23.277,23.27833333,0.97721898,,,,10.38,11.25,6.9575
23.287,23.299,23.291,23.29233333,0.977806697,,,,10.38,11.25,6.9913
23.301,23.313,23.305,23.30633333,0.978394414,,,,10.38,11.25,7.025
23.315,23.326,23.319,23.32,0.978968137,,,,10.38,11.25,7.0588
23.33,23.341,23.333,23.33466667,0.979583841,,,,10.38,11.25,7.0925
23.345,23.356,23.348,23.34966667,0.980213537,,,,10.38,11.25,7.1262
23.36,23.371,23.364,23.365,0.980857227,,,,10.38,11.25,7.16
23.376,23.386,23.379,23.38033333,0.981500917,,,,10.38,11.25,7.1937
23.391,23.401,23.394,23.39533333,0.982130613,,,,10.38,11.25,7.2275
23.406,23.416,23.409,23.41033333,0.98276031,,,,10.38,11.25,7.2613
23.422,23.431,23.425,23.426,0.983417993,,,,10.38,11.25,7.295
23.437,23.445,23.44,23.44066667,0.984033696,,,,10.38,11.25,7.3288
23.452,23.46,23.454,23.45533333,0.984649399,,,,10.38,11.25,7.3625
23.467,23.475,23.469,23.47033333,0.985279095,,,,10.38,11.25,7.3962
23.482,23.49,23.484,23.48533333,0.985908792,,,,10.38,11.25,7.43
23.497,23.505,23.499,23.50033333,0.986538488,,,,10.38,11.25,7.4637
23.512,23.519,23.514,23.515,0.987154192,,,,10.38,11.25,7.4975
23.527,23.534,23.529,23.53,0.987783888,,,,10.38,11.25,7.5312
23.541,23.548,23.544,23.54433333,0.988385598,,,,10.38,11.25,7.565
23.555,23.561,23.557,23.55766667,0.988945328,,,,10.38,11.25,7.5988
23.568,23.575,23.57,23.571,0.989505059,,,,10.38,11.25,7.6325
23.582,23.588,23.584,23.58466667,0.990078782,,,,10.38,11.25,7.6663
23.595,23.601,23.597,23.59766667,0.990624519,,,,10.38,11.25,7.7
23.608,23.614,23.61,23.61066667,0.991170256,,,,10.38,11.25,7.7337
23.622,23.628,23.624,23.62466667,0.991757973,,,,10.38,11.25,7.7675
23.635,23.641,23.637,23.63766667,0.99230371,,,,10.38,11.25,7.8012
23.647,23.652,23.649,23.64933333,0.992793474,,,,10.38,11.25,7.835
23.658,23.663,23.66,23.66033333,0.993255251,,,,10.38,11.25,7.8688
23.67,23.675,23.671,23.672,0.993745015,,,,10.38,11.25,7.9025
23.681,23.686,23.683,23.68333333,0.994220786,,,,10.38,11.25,7.9363
23.693,23.697,23.694,23.69466667,0.994696556,,,,10.38,11.25,7.97
23.704,23.708,23.705,23.70566667,0.995158334,,,,10.38,11.25,8.0037
23.715,23.719,23.717,23.717,0.995634104,,,,10.38,11.25,8.0375
23.726,23.729,23.727,23.72733333,0.996067895,,,,10.38,11.25,8.0712
23.735,23.739,23.736,23.73666667,0.996459706,,,,10.38,11.25,8.105
23.744,23.748,23.745,23.74566667,0.996837524,,,,10.38,11.25,8.1388
23.754,23.757,23.755,23.75533333,0.997243329,,,,10.38,11.25,8.1725
23.763,23.766,23.764,23.76433333,0.997621147,,,,10.38,11.25,8.2063
23.772,23.775,23.773,23.77333333,0.997998964,,,,10.38,11.25,8.24
23.782,23.785,23.782,23.783,0.998404769,,,,10.38,11.25,8.2738
23.791,23.793,23.791,23.79166667,0.998768594,,,,10.38,11.25,8.3075
23.798,23.801,23.799,23.79933333,0.999090438,,,,10.38,11.25,8.3413
23.805,23.808,23.806,23.80633333,0.999384297,,,,10.38,11.25,8.375
